"75CSV  	",
// AQ6375 OPTICAL SPECTRUM ANALYZER //,
25,
CTRWL,1550
SPAN,700
START WL,1200
STOP WL,1900
WLFREQ,0
REFL,-32.8
LSCL,10
RESLN,0.5
AVG,5
SMPLAUTO,1
SMPL,7001
SMPLINTVL,0.1
NORMAL,
MEAS,
LSUNT,1
NMSKH,OFF
RESCOR,0
RESPARM,9484
FREQPARM,9484
WNUMPARM,9484
,
,
,
,
,
[TRACE DATA],
1200,-51.726
1200.1,-51.284
1200.2,-51.188
1200.3,-51.75
1200.4,-51.22
1200.5,-52.065
1200.6,-52.566
1200.7,-52.37
1200.8,-52.825
1200.9,-52.53
1201,-52.492
1201.1,-51.62
1201.2,-51.392
1201.3,-51.152
1201.4,-50.902
1201.5,-50.803
1201.6,-51.363
1201.7,-51.637
1201.8,-52.021
1201.9,-52.581
1202,-52.647
1202.1,-52.708
1202.2,-51.657
1202.3,-51.562
1202.4,-50.852
1202.5,-50.55
1202.6,-50.712
1202.7,-50.928
1202.8,-51.365
1202.9,-52.007
1203,-52.288
1203.1,-52.417
1203.2,-52.339
1203.3,-52.421
1203.4,-51.895
1203.5,-50.963
1203.6,-50.884
1203.7,-50.965
1203.8,-51.152
1203.9,-51.284
1204,-51.639
1204.1,-51.647
1204.2,-52.158
1204.3,-52.403
1204.4,-52.25
1204.5,-51.625
1204.6,-51.336
1204.7,-51.103
1204.8,-50.63
1204.9,-51.023
1205,-51.095
1205.1,-51.278
1205.2,-51.841
1205.3,-52.039
1205.4,-52.351
1205.5,-51.968
1205.6,-51.84
1205.7,-51.694
1205.8,-51.372
1205.9,-51.169
1206,-51.13
1206.1,-51.106
1206.2,-51.151
1206.3,-51.275
1206.4,-51.669
1206.5,-51.957
1206.6,-52.083
1206.7,-52.289
1206.8,-52.089
1206.9,-51.531
1207,-51.125
1207.1,-51.161
1207.2,-51.183
1207.3,-50.899
1207.4,-51.018
1207.5,-51.318
1207.6,-51.826
1207.7,-52.023
1207.8,-52.202
1207.9,-52.039
1208,-51.846
1208.1,-51.352
1208.2,-51.14
1208.3,-50.472
1208.4,-50.755
1208.5,-50.985
1208.6,-51.234
1208.7,-51.709
1208.8,-52.532
1208.9,-52.262
1209,-52.499
1209.1,-51.912
1209.2,-51.382
1209.3,-50.689
1209.4,-50.474
1209.5,-50.6
1209.6,-50.921
1209.7,-51.455
1209.8,-52.165
1209.9,-52.778
1210,-52.426
1210.1,-52.548
1210.2,-51.509
1210.3,-50.738
1210.4,-50.572
1210.5,-50.284
1210.6,-50.546
1210.7,-51.086
1210.8,-52.041
1210.9,-52.732
1211,-52.824
1211.1,-52.896
1211.2,-51.588
1211.3,-51.512
1211.4,-50.635
1211.5,-50.609
1211.6,-50.692
1211.7,-50.997
1211.8,-51.273
1211.9,-52.016
1212,-52.547
1212.1,-52.606
1212.2,-51.958
1212.3,-51.368
1212.4,-50.892
1212.5,-50.977
1212.6,-50.763
1212.7,-51.435
1212.8,-51.78
1212.9,-51.947
1213,-52.34
1213.1,-52.655
1213.2,-52.383
1213.3,-51.97
1213.4,-51.369
1213.5,-50.989
1213.6,-51.265
1213.7,-51.279
1213.8,-51.861
1213.9,-51.729
1214,-52.557
1214.1,-52.45
1214.2,-52.153
1214.3,-51.792
1214.4,-51.514
1214.5,-51.608
1214.6,-51.563
1214.7,-51.622
1214.8,-51.647
1214.9,-52.067
1215,-52.599
1215.1,-52.432
1215.2,-52.232
1215.3,-51.72
1215.4,-51.489
1215.5,-51.49
1215.6,-51.505
1215.7,-51.965
1215.8,-52.064
1215.9,-52.505
1216,-52.623
1216.1,-51.813
1216.2,-51.65
1216.3,-51.586
1216.4,-51.415
1216.5,-51.773
1216.6,-51.541
1216.7,-51.796
1216.8,-52.129
1216.9,-51.971
1217,-52.054
1217.1,-51.949
1217.2,-51.523
1217.3,-51.576
1217.4,-51.314
1217.5,-51.468
1217.6,-51.966
1217.7,-52.112
1217.8,-52.121
1217.9,-52.141
1218,-51.788
1218.1,-51.977
1218.2,-51.637
1218.3,-51.82
1218.4,-51.573
1218.5,-51.495
1218.6,-51.671
1218.7,-51.766
1218.8,-51.993
1218.9,-52.055
1219,-51.989
1219.1,-51.545
1219.2,-51.612
1219.3,-51.329
1219.4,-51.308
1219.5,-51.677
1219.6,-51.92
1219.7,-52.102
1219.8,-51.645
1219.9,-52.54
1220,-52.418
1220.1,-52.098
1220.2,-51.651
1220.3,-51.388
1220.4,-51.476
1220.5,-51.286
1220.6,-51.707
1220.7,-51.903
1220.8,-52.076
1220.9,-51.886
1221,-52.331
1221.1,-51.994
1221.2,-51.591
1221.3,-51.81
1221.4,-51.408
1221.5,-51.444
1221.6,-51.368
1221.7,-51.353
1221.8,-52.032
1221.9,-51.951
1222,-51.911
1222.1,-52.028
1222.2,-51.903
1222.3,-51.801
1222.4,-51.523
1222.5,-51.325
1222.6,-51.426
1222.7,-51.439
1222.8,-51.804
1222.9,-51.947
1223,-52.148
1223.1,-52.369
1223.2,-51.966
1223.3,-51.786
1223.4,-51.373
1223.5,-50.99
1223.6,-50.959
1223.7,-51.411
1223.8,-51.65
1223.9,-51.832
1224,-51.98
1224.1,-52.727
1224.2,-52.047
1224.3,-51.547
1224.4,-51.058
1224.5,-50.832
1224.6,-50.894
1224.7,-51.21
1224.8,-52.102
1224.9,-52.634
1225,-52.323
1225.1,-52.446
1225.2,-51.803
1225.3,-51.404
1225.4,-50.964
1225.5,-50.868
1225.6,-51.141
1225.7,-51.178
1225.8,-51.855
1225.9,-52.199
1226,-51.999
1226.1,-52.348
1226.2,-51.689
1226.3,-51.323
1226.4,-51.004
1226.5,-50.748
1226.6,-50.727
1226.7,-51.229
1226.8,-51.502
1226.9,-52.311
1227,-52.246
1227.1,-52.067
1227.2,-51.595
1227.3,-51.227
1227.4,-50.872
1227.5,-50.707
1227.6,-50.87
1227.7,-51.298
1227.8,-52.277
1227.9,-52.164
1228,-52.095
1228.1,-51.74
1228.2,-51.293
1228.3,-51.254
1228.4,-50.841
1228.5,-50.698
1228.6,-51.43
1228.7,-51.816
1228.8,-51.877
1228.9,-51.977
1229,-51.953
1229.1,-51.351
1229.2,-51.265
1229.3,-50.793
1229.4,-50.709
1229.5,-51.02
1229.6,-51.584
1229.7,-51.878
1229.8,-51.897
1229.9,-52.222
1230,-51.608
1230.1,-51.562
1230.2,-51.187
1230.3,-50.995
1230.4,-51.131
1230.5,-51.175
1230.6,-51.466
1230.7,-51.811
1230.8,-51.792
1230.9,-51.91
1231,-51.663
1231.1,-51.604
1231.2,-51.297
1231.3,-51.177
1231.4,-51.253
1231.5,-51.585
1231.6,-51.605
1231.7,-51.579
1231.8,-51.636
1231.9,-51.296
1232,-51.557
1232.1,-51.363
1232.2,-51.519
1232.3,-51.19
1232.4,-51.404
1232.5,-51.59
1232.6,-51.94
1232.7,-51.545
1232.8,-51.56
1232.9,-51.574
1233,-51.918
1233.1,-51.353
1233.2,-51.433
1233.3,-51.483
1233.4,-51.752
1233.5,-51.384
1233.6,-51.874
1233.7,-51.758
1233.8,-51.505
1233.9,-51.449
1234,-51.504
1234.1,-51.609
1234.2,-51.129
1234.3,-51.67
1234.4,-51.416
1234.5,-51.529
1234.6,-51.557
1234.7,-51.601
1234.8,-51.724
1234.9,-51.479
1235,-51.397
1235.1,-51.695
1235.2,-51.444
1235.3,-51.424
1235.4,-51.735
1235.5,-51.597
1235.6,-51.994
1235.7,-51.999
1235.8,-51.681
1235.9,-51.566
1236,-51.535
1236.1,-51.403
1236.2,-51.311
1236.3,-51.398
1236.4,-51.555
1236.5,-51.801
1236.6,-51.682
1236.7,-51.546
1236.8,-51.629
1236.9,-51.411
1237,-51.429
1237.1,-51.266
1237.2,-51.594
1237.3,-51.634
1237.4,-51.655
1237.5,-51.592
1237.6,-51.423
1237.7,-51.771
1237.8,-51.544
1237.9,-51.507
1238,-51.332
1238.1,-51.674
1238.2,-51.433
1238.3,-51.732
1238.4,-51.395
1238.5,-51.791
1238.6,-51.517
1238.7,-51.49
1238.8,-51.413
1238.9,-51.41
1239,-51.435
1239.1,-51.572
1239.2,-51.583
1239.3,-51.681
1239.4,-52
1239.5,-51.38
1239.6,-51.55
1239.7,-51.311
1239.8,-51.412
1239.9,-51.665
1240,-51.72
1240.1,-51.527
1240.2,-51.891
1240.3,-51.614
1240.4,-51.784
1240.5,-51.35
1240.6,-51.444
1240.7,-51.919
1240.8,-51.474
1240.9,-51.579
1241,-51.63
1241.1,-51.54
1241.2,-51.551
1241.3,-51.437
1241.4,-51.471
1241.5,-51.257
1241.6,-51.255
1241.7,-51.453
1241.8,-51.763
1241.9,-51.502
1242,-51.749
1242.1,-51.553
1242.2,-51.582
1242.3,-51.534
1242.4,-51.46
1242.5,-51.73
1242.6,-51.646
1242.7,-51.626
1242.8,-51.807
1242.9,-51.736
1243,-51.669
1243.1,-51.592
1243.2,-51.64
1243.3,-51.884
1243.4,-51.601
1243.5,-51.96
